Liquidation Date,Season,Liq #,Distributor,Grower Entity,Crop,Variety,USDA Bucket,Size,Quality,Pack Style,Boxes Invoiced,Sale Amount USD,Realized $/Box,Source File,Notes
,2024,,Giumarra,,Grape,HONEY POP,WHITE SEEDLESS TYPE,,B,BAG,90.0,1687.5,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],2024 season - no dates available
,2024,,Giumarra,,Grape,HONEY POP,WHITE SEEDLESS TYPE,,B,BAG,450.0,11250.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],2024 season - no dates available
,2024,,Giumarra,,Grape,HONEY POP,WHITE SEEDLESS TYPE,,B,BAG,720.0,18000.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],2024 season - no dates available
,2024,,Giumarra,,Grape,HONEY POP,WHITE SEEDLESS TYPE,,B,BAG,450.0,11250.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],2024 season - no dates available
,2024,,Giumarra,,Grape,HONEY POP,WHITE SEEDLESS TYPE,,B,BAG,270.0,6750.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],2024 season - no dates available
,2024,,Giumarra,,Grape,HONEY POP,WHITE SEEDLESS TYPE,,B,BAG,90.0,2250.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],2024 season - no dates available
,2024,,Giumarra,,Grape,HONEY POP,WHITE SEEDLESS TYPE,,B,BAG,90.0,1687.5,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],2024 season - no dates available
,2024,,Giumarra,,Grape,HONEY POP,WHITE SEEDLESS TYPE,,B,BAG,270.0,5062.5,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],2024 season - no dates available
,2024,,Giumarra,,Grape,ARRA_83,WHITE SEEDLESS TYPE,,A,BAG,270.0,5130.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],2024 season - no dates available
,2024,,Giumarra,,Grape,FLAME,FLAME SEEDLESS,,A,BAG,90.0,1507.5,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],2024 season - no dates available
,2024,,Giumarra,,Grape,FLAME,FLAME SEEDLESS,,B,CLAM,150.0,2550.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],2024 season - no dates available
,2024,,Giumarra,,Grape,FLAME,FLAME SEEDLESS,,A,BAG,89.9999999999,1624.5,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],2024 season - no dates available
,2024,,Giumarra,,Grape,FLAME,FLAME SEEDLESS,,B,BAG,180.0,3015.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],2024 season - no dates available
,2024,,Giumarra,,Grape,FLAME,FLAME SEEDLESS,,A,BAG,1889.0,34096.45,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],2024 season - no dates available
,2024,,Giumarra,,Grape,FLAME,FLAME SEEDLESS,,B,BAG,90.0,1507.5,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],2024 season - no dates available
,2024,,Giumarra,,Grape,FLAME,FLAME SEEDLESS,,B,BAG,180.0,3015.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],2024 season - no dates available
,2024,,Giumarra,,Grape,FLAME,FLAME SEEDLESS,,B,BAG,810.0,11380.5,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],2024 season - no dates available
