source_report,report_date,commodity,variety,organic,market_location,district,package,grade,size_description,low_price,high_price,mostly_low,mostly_high,demand,market_tone,supply_tone,commodity_comments
IX_FV110,05/14/2026,Watermelons,RED FLESH SEEDLESS TYPE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,24 inch bins,N/A,approx 60 count,112,154,126,147,LIGHT,About Steady,,Extra services included.
IX_FV110,05/14/2026,Grapes,SUMMER ROYAL,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,medium-large,22.95,24.95,,,LIGHT,"Flame Seedless medium-large slightly lower, others about steady.",,Extra services included. Wide range in price. White Seedless Type being reported are Early Sweets variety. Movement and F.O.B. prices are impacted by a shortage of trucks and high freight rates.
IX_FV110,05/14/2026,Grapes,WHITE SEEDLESS TYPE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,large,20.95,24.95,,,LIGHT,"Flame Seedless medium-large slightly lower, others about steady.",,Extra services included. Wide range in price. White Seedless Type being reported are Early Sweets variety. Movement and F.O.B. prices are impacted by a shortage of trucks and high freight rates.
IX_FV110,05/14/2026,Grapes,WHITE SEEDLESS TYPE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,medium-large,18.95,20.95,,,LIGHT,"Flame Seedless medium-large slightly lower, others about steady.",,Extra services included. Wide range in price. White Seedless Type being reported are Early Sweets variety. Movement and F.O.B. prices are impacted by a shortage of trucks and high freight rates.
IX_FV110,05/14/2026,Honeydews,N/A,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,2/3 cartons,N/A,5s,4.95,6.95,,,LIGHT,About Steady,,Extra services included.
IX_FV110,05/14/2026,Honeydews,N/A,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,2/3 cartons,N/A,6s,5,6,,,LIGHT,About Steady,,Extra services included.
IX_FV110,05/14/2026,Honeydews,N/A,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,2/3 cartons,N/A,8s,3.95,5.95,,,LIGHT,About Steady,,Extra services included.
IX_FV110,05/13/2026,Grapes,FLAME SEEDLESS,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,large,18.95,20.95,,,LIGHT,"Flame Seedless slightly lower, others lower.",,Extra services included. Wide range in price. White Seedless Type being reported are Early Sweets variety. Movement and F.O.B. prices are impacted by a shortage of trucks and high freight rates.
IX_FV110,05/13/2026,Grapes,FLAME SEEDLESS,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,medium-large,16.95,18.95,,,LIGHT,"Flame Seedless slightly lower, others lower.",,Extra services included. Wide range in price. White Seedless Type being reported are Early Sweets variety. Movement and F.O.B. prices are impacted by a shortage of trucks and high freight rates.
IX_FV110,05/13/2026,Grapes,SUMMER ROYAL,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,large-extra large,24.95,26.95,,,LIGHT,"Flame Seedless slightly lower, others lower.",,Extra services included. Wide range in price. White Seedless Type being reported are Early Sweets variety. Movement and F.O.B. prices are impacted by a shortage of trucks and high freight rates.
IX_FV110,05/13/2026,Watermelons,RED FLESH SEEDLESS MINIATURE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,cartons,N/A,6s,8.95,12.95,10.95,12.95,LIGHT,About Steady,,Extra services included.
IX_FV110,05/13/2026,Watermelons,RED FLESH SEEDLESS MINIATURE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,cartons,N/A,8s,8.95,12.95,10.95,12.95,LIGHT,About Steady,,Extra services included.
IX_FV110,05/13/2026,Watermelons,RED FLESH SEEDLESS MINIATURE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,cartons,N/A,9s,8.95,10.95,,,LIGHT,About Steady,,Extra services included.
IX_FV110,05/13/2026,Watermelons,RED FLESH SEEDLESS TYPE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,24 inch bins,N/A,approx 36 count,105,126,112,119,LIGHT,About Steady,,Extra services included.
IX_FV110,05/13/2026,Watermelons,RED FLESH SEEDLESS TYPE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,24 inch bins,N/A,approx 45 count,112,161,140,147,LIGHT,About Steady,,Extra services included.
IX_FV110,05/13/2026,Watermelons,RED FLESH SEEDLESS TYPE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,24 inch bins,N/A,approx 60 count,112,154,126,147,LIGHT,About Steady,,Extra services included.
IX_FV110,05/13/2026,Grapes,SUMMER ROYAL,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,medium-large,22.95,24.95,,,LIGHT,"Flame Seedless slightly lower, others lower.",,Extra services included. Wide range in price. White Seedless Type being reported are Early Sweets variety. Movement and F.O.B. prices are impacted by a shortage of trucks and high freight rates.
IX_FV110,05/13/2026,Grapes,WHITE SEEDLESS TYPE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,large,20.95,24.95,,,LIGHT,"Flame Seedless slightly lower, others lower.",,Extra services included. Wide range in price. White Seedless Type being reported are Early Sweets variety. Movement and F.O.B. prices are impacted by a shortage of trucks and high freight rates.
IX_FV110,05/13/2026,Grapes,WHITE SEEDLESS TYPE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,medium-large,18.95,20.95,,,LIGHT,"Flame Seedless slightly lower, others lower.",,Extra services included. Wide range in price. White Seedless Type being reported are Early Sweets variety. Movement and F.O.B. prices are impacted by a shortage of trucks and high freight rates.
IX_FV110,05/13/2026,Honeydews,N/A,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,2/3 cartons,N/A,5s,4.95,6.95,,,LIGHT,About Steady,,Extra services included.
IX_FV110,05/13/2026,Honeydews,N/A,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,2/3 cartons,N/A,6s,5,6,,,LIGHT,About Steady,,Extra services included.
IX_FV110,05/13/2026,Honeydews,N/A,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,2/3 cartons,N/A,8s,3.95,5.95,,,LIGHT,About Steady,,Extra services included.
IX_FV110,05/12/2026,Grapes,FLAME SEEDLESS,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,large,20.95,24.95,,,FAIRLY LIGHT,"Flame Seedless slightly lower, others about steady.",,Extra services included. Wide range in price. White Seedless Type being reported are Early Sweets variety. Some present shipments from prior bookings and/or previous commitments.
IX_FV110,05/12/2026,Grapes,FLAME SEEDLESS,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,medium-large,16.95,20.95,,,FAIRLY LIGHT,"Flame Seedless slightly lower, others about steady.",,Extra services included. Wide range in price. White Seedless Type being reported are Early Sweets variety. Some present shipments from prior bookings and/or previous commitments.
IX_FV110,05/12/2026,Grapes,SUMMER ROYAL,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,large-extra large,26.95,28.95,,,FAIRLY LIGHT,"Flame Seedless slightly lower, others about steady.",,Extra services included. Wide range in price. White Seedless Type being reported are Early Sweets variety. Some present shipments from prior bookings and/or previous commitments.
IX_FV110,05/12/2026,Watermelons,RED FLESH SEEDLESS MINIATURE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,cartons,N/A,6s,8.95,10.95,,,LIGHT,About Steady,,Extra services included.
IX_FV110,05/12/2026,Watermelons,RED FLESH SEEDLESS MINIATURE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,cartons,N/A,8s,8.95,10.95,,,LIGHT,About Steady,,Extra services included.
IX_FV110,05/12/2026,Watermelons,RED FLESH SEEDLESS MINIATURE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,cartons,N/A,9s,8.95,10.95,,,LIGHT,About Steady,,Extra services included.
IX_FV110,05/12/2026,Watermelons,RED FLESH SEEDLESS TYPE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,24 inch bins,N/A,approx 36 count,98,119,105,112,LIGHT,About Steady,,Extra services included.
IX_FV110,05/12/2026,Watermelons,RED FLESH SEEDLESS TYPE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,24 inch bins,N/A,approx 45 count,112,147,119,133,LIGHT,About Steady,,Extra services included.
IX_FV110,05/12/2026,Watermelons,RED FLESH SEEDLESS TYPE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,24 inch bins,N/A,approx 60 count,112,140,126,133,LIGHT,About Steady,,Extra services included.
IX_FV110,05/12/2026,Grapes,SUMMER ROYAL,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,medium-large,24.95,26.95,,,FAIRLY LIGHT,"Flame Seedless slightly lower, others about steady.",,Extra services included. Wide range in price. White Seedless Type being reported are Early Sweets variety. Some present shipments from prior bookings and/or previous commitments.
IX_FV110,05/12/2026,Grapes,WHITE SEEDLESS TYPE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,large,24.95,26.95,,,FAIRLY LIGHT,"Flame Seedless slightly lower, others about steady.",,Extra services included. Wide range in price. White Seedless Type being reported are Early Sweets variety. Some present shipments from prior bookings and/or previous commitments.
IX_FV110,05/12/2026,Grapes,WHITE SEEDLESS TYPE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,medium-large,22.95,24.95,,,FAIRLY LIGHT,"Flame Seedless slightly lower, others about steady.",,Extra services included. Wide range in price. White Seedless Type being reported are Early Sweets variety. Some present shipments from prior bookings and/or previous commitments.
IX_FV110,05/12/2026,Honeydews,N/A,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,2/3 cartons,N/A,5s,4.95,6.95,,,VERY LIGHT,About Steady,,Extra services included.
IX_FV110,05/12/2026,Honeydews,N/A,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,2/3 cartons,N/A,6s,5,6,,,VERY LIGHT,About Steady,,Extra services included.
IX_FV110,05/12/2026,Honeydews,N/A,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,2/3 cartons,N/A,8s,4,5,,,VERY LIGHT,About Steady,,Extra services included.
IX_FV110,05/11/2026,Grapes,FLAME SEEDLESS,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,large,22.95,24.95,,,FAIRLY LIGHT,"Flame Seedless lower, others slightly lower.",,Extra services included. White Seedless Type being reported are Early Sweets variety. Some present shipments from prior bookings and/or previous commitments.
IX_FV110,05/11/2026,Grapes,FLAME SEEDLESS,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,medium-large,18.95,22.95,,,FAIRLY LIGHT,"Flame Seedless lower, others slightly lower.",,Extra services included. White Seedless Type being reported are Early Sweets variety. Some present shipments from prior bookings and/or previous commitments.
IX_FV110,05/11/2026,Grapes,SUMMER ROYAL,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,large-extra large,26.95,28.95,,,FAIRLY LIGHT,"Flame Seedless lower, others slightly lower.",,Extra services included. White Seedless Type being reported are Early Sweets variety. Some present shipments from prior bookings and/or previous commitments.
IX_FV110,05/11/2026,Watermelons,RED FLESH SEEDLESS MINIATURE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,cartons,N/A,6s,8,10,,,LIGHT,About Steady,,Extra services included.
IX_FV110,05/11/2026,Watermelons,RED FLESH SEEDLESS MINIATURE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,cartons,N/A,8s,8,10,,,LIGHT,About Steady,,Extra services included.
IX_FV110,05/11/2026,Watermelons,RED FLESH SEEDLESS MINIATURE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,cartons,N/A,9s,8,9,,,LIGHT,About Steady,,Extra services included.
IX_FV110,05/11/2026,Watermelons,RED FLESH SEEDLESS TYPE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,24 inch bins,N/A,approx 36 count,98,119,105,112,LIGHT,About Steady,,Extra services included.
IX_FV110,05/11/2026,Watermelons,RED FLESH SEEDLESS TYPE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,24 inch bins,N/A,approx 45 count,112,140,119,133,LIGHT,About Steady,,Extra services included.
IX_FV110,05/11/2026,Watermelons,RED FLESH SEEDLESS TYPE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,24 inch bins,N/A,approx 60 count,112,140,126,133,LIGHT,About Steady,,Extra services included.
IX_FV110,05/11/2026,Grapes,SUMMER ROYAL,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,medium-large,24.95,26.95,,,FAIRLY LIGHT,"Flame Seedless lower, others slightly lower.",,Extra services included. White Seedless Type being reported are Early Sweets variety. Some present shipments from prior bookings and/or previous commitments.
IX_FV110,05/11/2026,Grapes,WHITE SEEDLESS TYPE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,large-extra large,24.95,26.95,,,FAIRLY LIGHT,"Flame Seedless lower, others slightly lower.",,Extra services included. White Seedless Type being reported are Early Sweets variety. Some present shipments from prior bookings and/or previous commitments.
IX_FV110,05/11/2026,Grapes,WHITE SEEDLESS TYPE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,medium-large,22.95,24.95,,,FAIRLY LIGHT,"Flame Seedless lower, others slightly lower.",,Extra services included. White Seedless Type being reported are Early Sweets variety. Some present shipments from prior bookings and/or previous commitments.
IX_FV110,05/11/2026,Honeydews,N/A,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,2/3 cartons,N/A,5s,5,6.95,,,VERY LIGHT,About Steady,,Extra services included.
IX_FV110,05/11/2026,Honeydews,N/A,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,2/3 cartons,N/A,6s,5,6,,,VERY LIGHT,About Steady,,Extra services included.
IX_FV110,05/11/2026,Honeydews,N/A,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,2/3 cartons,N/A,8s,4,5,,,VERY LIGHT,About Steady,,Extra services included.
